id;city;visa_application_date;visa_issue_date;waiting_days;travel_purpose;planned_travel_date;additional_doc_request;tickets_purchased;hotels_purchased;employment_certificate;financial_guarantee;comments;visa_center;visa_status;visa_issued_for_days;corridor_days;past_visas_trips;consul;planned_stay_in_italy
7663;Санкт-Петербург;31.01.2024;02.04.2024;62;;07.04.2024;0;0;0;работа;363;;VMS;1;;;;;
7664;Москва;06.03.2024;12.04.2024;37;;00.01.1900;0;0;0;;2000;;VMS;1;;;;;
7665;Москва;11.03.2024;15.04.2024;35;Туризм;16.04.2024;0;0;0;без справки;500;;VMS;1;;;;;
7666;Санкт-Петербург;23.01.2024;19.04.2024;87;;21.04.2024;0;0;0;;600;;VMS;1;;;;;
7667;Москва;05.04.2024;17.04.2024;12;Родственники;27.05.2024;0;0;0;работа;1000;;VMS;1;;;;;
7668;Москва;05.04.2024;17.04.2024;12;Родственники;27.05.2024;0;0;0;работа;700;;VMS;1;;;;;
7669;Москва;05.04.2024;17.04.2024;12;Родственники;27.05.2024;0;0;0;работа;570;;VMS;1;;;;;
7670;Санкт-Петербург;26.01.2024;20.04.2024;85;;21.04.2024;0;0;0;;;;VMS;1;;;;;
7671;Москва;18.03.2024;24.04.2024;37;Родственники;27.05.2024;0;0;0;;500;;VMS;1;;;;;
7672;Москва;21.03.2024;02.05.2024;42;Туризм;01.09.2024;0;0;0;;980;;VMS;1;;;;;
7673;Москва;25.03.2024;02.05.2024;38;Туризм;10.06.2024;0;0;0;без справки;600;;VMS;1;;;;;
7674;Москва;25.03.2024;03.05.2024;39;Туризм;12.06.2024;0;0;0;без справки;;;VMS;1;;;;;
7675;Москва;25.03.2024;03.05.2024;39;Туризм;22.05.2024;0;0;0;работа;300;;VMS;1;;;;;
7676;Москва;01.04.2024;13.05.2024;42;Туризм;24.05.2024;0;0;0;работа;700;;VMS;1;;;;;
7677;Санкт-Петербург;02.02.2024;13.05.2024;101;;16.05.2024;0;0;0;;400;;VMS;1;;;;;
7678;Санкт-Петербург;02.04.2024;10.05.2024;38;;15.05.2024;0;0;0;;450;;VMS;1;;;;;
7679;Москва;29.03.2024;13.05.2024;45;;;0;0;0;работа;500;;VMS;1;;;;;
7680;Санкт-Петербург;20.02.2024;13.05.2024;83;Туризм;16.05.2024;0;0;0;;450;;VMS;1;;;;;
7681;Санкт-Петербург;21.02.2024;14.05.2024;83;Туризм;15.05.2024;0;0;0;;900;;VMS;1;;;;;
7682;Москва;18.03.2024;24.04.2024;37;;02.06.2024;0;0;0;самозанятость;1000;;VMS;1;;;;;
7683;Санкт-Петербург;02.04.2024;14.05.2024;42;;17.05.2024;0;0;0;учеба;500;;VMS;1;;;;;
7684;Москва;01.04.2024;17.05.2024;46;;02.06.2024;0;0;0;;1000;;VMS;1;;;;;
7685;Москва;04.04.2024;21.05.2024;47;;08.06.2024;0;0;0;;;;VMS;1;;;;;
7686;Москва;08.04.2024;22.05.2024;44;;23.05.2024;0;0;0;;;;VMS;1;;;;;
7687;Москва;04.04.2024;22.05.2024;48;;;0;0;0;;750;;VMS;1;;;;;
7688;Санкт-Петербург;01.03.2024;24.05.2024;84;;27.05.2024;0;0;0;;300;;VMS;1;;;;;
7689;Москва;10.04.2024;24.05.2024;44;;;0;0;0;;200;;VMS;1;;;;;
7690;Москва;15.04.2024;31.05.2024;46;;18.09.2024;0;0;0;;550;;VMS;1;;;;;
7691;Москва;15.04.2024;31.05.2024;46;;02.07.2024;0;0;0;;900;;VMS;1;;;;;
7692;Москва;16.04.2024;03.06.2024;48;;31.05.2024;0;0;0;;;;VMS;1;;;;;
7693;Москва;16.04.2024;03.06.2024;48;;27.05.2024;0;0;0;;;;VMS;1;;;;;
7694;Санкт-Петербург;10.04.2024;04.06.2024;55;;05.06.2024;0;0;0;;;;VMS;1;;;;;
7695;Москва;18.04.2024;04.06.2024;47;;;0;0;0;;;;VMS;1;;;;;
7696;Москва;19.04.2024;05.06.2024;47;Туризм;10.08.2024;0;0;0;;;;VMS;1;;;;;
7697;Москва;23.04.2024;05.06.2024;43;;04.08.2024;0;0;0;самозанятость;600;;VMS;1;;;;;
7698;Москва;18.04.2024;05.06.2024;48;;27.06.2024;0;0;0;работа;640;;VMS;1;;;;;
7699;Москва;25.04.2024;06.06.2024;42;;28.06.2024;0;0;0;;;;VMS;1;;;;;
